order_num,User ID,code,name,Buy Qty,Sell Qty,qty,price,현재 가격,평균 가격 대비,수익률
0,heathermurphy@yahoo.com,A403550,쏘카,67.0,0.0,67.0,16950.0,19610,2660.0,15.693215339233038
4,heathermurphy@yahoo.com,A059100,아이컴포넌트,73.0,33.0,40.0,5010.0,5230,220.0,4.39121756487026
6,heathermurphy@yahoo.com,A109740,디에스케이,19.0,10.0,9.0,6520.0,5530,-990.0,-15.184049079754603
7,heathermurphy@yahoo.com,A452430,사피엔반도체,67.0,0.0,67.0,29200.0,21400,-7800.0,-26.71232876712329
8,heathermurphy@yahoo.com,A012630,HDC,51.0,0.0,51.0,8750.0,8030,-720.0,-8.228571428571428
9,heathermurphy@yahoo.com,A005070,코스모신소재,53.0,0.0,53.0,149000.0,137000,-12000.0,-8.053691275167784
10,heathermurphy@yahoo.com,A038290,마크로젠,54.0,0.0,54.0,20050.0,21850,1800.0,8.977556109725686
11,heathermurphy@yahoo.com,A256940,케이피에스,130.0,0.0,130.0,6330.0,6490,160.0,2.527646129541864
12,heathermurphy@yahoo.com,A074600,원익QnC,35.0,0.0,35.0,31950.0,32900,950.0,2.97339593114241
13,heathermurphy@yahoo.com,A089980,상아프론테크,95.0,22.0,73.0,22200.0,27600,5400.0,24.324324324324326
16,heathermurphy@yahoo.com,A032620,유비케어,96.0,0.0,96.0,4730.0,4835,105.0,2.2198731501057085
17,heathermurphy@yahoo.com,A089790,제이티,342.0,0.0,342.0,9410.0,8450,-960.0,-10.201912858660998
18,heathermurphy@yahoo.com,A100840,SNT에너지,70.0,31.0,39.0,10850.0,10280,-570.0,-5.253456221198157
19,heathermurphy@yahoo.com,A004020,현대제철,23.0,0.0,23.0,31550.0,30950,-600.0,-1.9017432646592711
20,heathermurphy@yahoo.com,A090470,제이스텍,68.0,19.0,49.0,8680.0,8390,-290.0,-3.3410138248847927
21,heathermurphy@yahoo.com,A009450,경동나비엔,71.0,46.0,25.0,59200.0,49400,-9800.0,-16.554054054054053
22,heathermurphy@yahoo.com,A403870,HPSP,32.0,0.0,32.0,38700.0,38800,100.0,0.2583979328165375
23,heathermurphy@yahoo.com,A124500,아이티센,44.0,0.0,44.0,5110.0,4615,-495.0,-9.686888454011742
24,heathermurphy@yahoo.com,A226330,신테카바이오,14.0,0.0,14.0,10670.0,9300,-1370.0,-12.839737582005622
25,heathermurphy@yahoo.com,A131090,시큐브,70.0,0.0,70.0,942.0,948,6.0,0.6369426751592357
26,heathermurphy@yahoo.com,A126720,수산인더스트리,30.0,0.0,30.0,22750.0,25400,2650.0,11.648351648351648
27,alexwilson3@yahoo.com,A000490,대동,17.0,0.0,17.0,15330.0,11200,-4130.0,-26.94063926940639
28,alexwilson3@yahoo.com,A051360,토비스,54.0,0.0,54.0,17380.0,19160,1780.0,10.241657077100115
29,alexwilson3@yahoo.com,A019990,에너토크,61.0,0.0,61.0,5820.0,6500,680.0,11.683848797250858
30,alexwilson3@yahoo.com,A272210,한화시스템,160.0,0.0,160.0,19850.0,17820,-2030.0,-10.226700251889168
33,alexwilson3@yahoo.com,A057050,현대홈쇼핑,55.0,24.0,31.0,54600.0,54000,-600.0,-1.098901098901099
34,alexwilson3@yahoo.com,A013030,하이록코리아,44.0,0.0,44.0,27050.0,28500,1450.0,5.360443622920517
35,alexwilson3@yahoo.com,A077500,유니퀘스트,101.0,0.0,101.0,7050.0,6540,-510.0,-7.234042553191489
36,alexwilson3@yahoo.com,A024850,HLB이노베이션,4.0,0.0,4.0,4935.0,3130,-1805.0,-36.575481256332324
38,alexwilson3@yahoo.com,A045390,대아티아이,64.0,0.0,64.0,3010.0,3055,45.0,1.495016611295681
39,alexwilson3@yahoo.com,A005930,삼성전자,53.0,33.0,20.0,76800.0,75900,-900.0,-1.171875
41,alexwilson3@yahoo.com,A052690,한전기술,77.0,73.0,4.0,61400.0,70200,8800.0,14.332247557003258
43,alexwilson3@yahoo.com,A217500,러셀,86.0,85.0,1.0,2685.0,2750,65.0,2.4208566108007448
44,alexwilson3@yahoo.com,A049480,오픈베이스,158.0,0.0,158.0,2495.0,2500,5.0,0.2004008016032064
45,alexwilson3@yahoo.com,A351320,에스에이티이엔지,81.0,0.0,81.0,2135.0,1980,-155.0,-7.259953161592506
46,alexwilson3@yahoo.com,A003160,디아이,72.0,0.0,72.0,19040.0,19170,130.0,0.6827731092436975
47,alexwilson3@yahoo.com,A219130,타이거일렉,5.0,0.0,5.0,36350.0,33600,-2750.0,-7.565337001375516
48,alexwilson3@yahoo.com,A001440,대한전선,12.0,0.0,12.0,13800.0,19180,5380.0,38.98550724637681
49,alexwilson3@yahoo.com,A000370,한화손해보험,13.0,0.0,13.0,5000.0,5030,30.0,0.6
50,samanthapark@naver.com,A136480,하림,43.0,0.0,43.0,3630.0,3395,-235.0,-6.473829201101928
51,samanthapark@naver.com,A058820,CMG제약,96.0,0.0,96.0,2270.0,2085,-185.0,-8.149779735682818
52,samanthapark@naver.com,A002240,고려제강,143.0,0.0,143.0,20650.0,22250,1600.0,7.74818401937046
54,samanthapark@naver.com,A168360,펨트론,63.0,0.0,63.0,8340.0,7170,-1170.0,-14.028776978417264
56,samanthapark@naver.com,A108860,셀바스AI,7.0,0.0,7.0,16310.0,16680,370.0,2.2685469037400368
57,samanthapark@naver.com,A239890,피엔에이치테크,96.0,0.0,96.0,15530.0,18540,3010.0,19.381841596909208
58,samanthapark@naver.com,A000400,롯데손해보험,38.0,0.0,38.0,3535.0,3340,-195.0,-5.516265912305516
59,samanthapark@naver.com,A033640,네패스,71.0,0.0,71.0,17560.0,17110,-450.0,-2.562642369020501
60,samanthapark@naver.com,A158430,아톤,92.0,0.0,92.0,4065.0,4315,250.0,6.150061500615006
61,samanthapark@naver.com,A241770,메카로,36.0,0.0,36.0,10200.0,9900,-300.0,-2.941176470588235
62,samanthapark@naver.com,A321260,프로이천,31.0,0.0,31.0,2645.0,2580,-65.0,-2.4574669187145557
